-18.6973, -9.6802, 9.0992, 1.2685, -0.0000, -1.1058
-17.8662, -10.8970, 9.5688, 1.2465, 0.0000, -1.0369
-17.0021, -11.9560, 10.1784, 1.2185, -0.0000, -0.9726
-16.1334, -12.8790, 10.8695, 1.1872, 0.0000, -0.9126
-15.2755, -13.6906, 11.5992, 1.1549, 0.0000, -0.8563
-14.4353, -14.4121, 12.3363, 1.1230, -0.0000, -0.8031
-13.6150, -15.0615, 13.0565, 1.0928, -0.0000, -0.7525
-12.8123, -15.6542, 13.7368, 1.0650, 0.0000, -0.7039
-12.0215, -16.2037, 14.3511, 1.0408, -0.0000, -0.6567
-11.2309, -16.7218, 14.8457, 1.0218, -0.0000, -0.6103
-10.4488, -17.2025, 15.0991, 1.0120, 0.0000, -0.5650
-9.8091, -17.5626, 14.9028, 1.0184, -0.0000, -0.5287
-9.3976, -17.7612, 14.3151, 1.0391, -0.0000, -0.5061
-9.2035, -17.8237, 13.6028, 1.0649, -0.0000, -0.4962
-9.1337, -17.8123, 12.8987, 1.0911, -0.0000, -0.4934
-9.1086, -17.7762, 12.2612, 1.1156, -0.0000, -0.4932
-9.1017, -17.7324, 11.7024, 1.1375, -0.0000, -0.4939
-9.1016, -17.6883, 11.2246, 1.1566, -0.0000, -0.4950
-9.1032, -17.6484, 10.8298, 1.1727, -0.0000, -0.4960
-9.1047, -17.6151, 10.5197, 1.1855, -0.0000, -0.4968
-9.1055, -17.5902, 10.2960, 1.1948, -0.0000, -0.4975
-9.1058, -17.5748, 10.1605, 1.2004, 0.0000, -0.4979
